Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Lrrc17	3.694364643	6.09E-47	0.293	0.021	1.96E-42
Gab2	-2.206011715	4.35E-46	0.369	0.679	1.41E-41
P4ha3	3.310782497	1.14E-45	0.286	0.02	3.69E-41
Hsd11b1	-4.610082378	1.45E-45	0.042	0.432	4.69E-41
Limd2	2.686001125	3.62E-45	0.364	0.054	1.17E-40
Ncam1	3.869048344	1.42E-44	0.269	0.016	4.59E-40
Prg4	-3.929233469	1.79E-44	0.252	0.591	5.77E-40
Dnajc9	2.375723286	6.09E-44	0.381	0.063	1.97E-39
Rrm1	2.756044452	8.91E-44	0.323	0.038	2.88E-39
Uap1	-2.495816209	1.34E-43	0.433	0.682	4.33E-39
Uhrf1	3.739166497	1.76E-43	0.247	0.011	5.69E-39
Glipr1	5.45068777	2.11E-43	0.23	0.006	6.81E-39
Ctsh	2.251980558	2.92E-43	0.423	0.088	9.43E-39
Smim41	-3.479242381	4.06E-43	0.103	0.479	1.31E-38
Mdk	3.107360462	4.76E-43	0.296	0.028	1.54E-38
Smc2	2.860382975	5.95E-43	0.34	0.049	1.92E-38
Asf1b	7.516138654	9.50E-43	0.21	0.001	3.07E-38
Abca8a	-3.580482026	9.82E-43	0.112	0.485	3.17E-38
Top2a	7.651491093	3.30E-42	0.208	0.001	1.07E-37
Cks2	2.68167599	5.57E-42	0.364	0.063	1.80E-37
Crispld2	-3.304225098	1.07E-41	0.13	0.491	3.44E-37
Mcm7	3.058363529	2.50E-41	0.274	0.024	8.08E-37
Ccnb2	5.740315809	3.94E-41	0.208	0.002	1.27E-36
Sfrp2	3.498953358	7.62E-39	0.32	0.051	2.46E-34
Col12a1	2.4785432	1.01E-38	0.325	0.049	3.25E-34
Dhfr	3.056803326	2.34E-38	0.267	0.026	7.54E-34
Gfpt2	-2.445759868	3.35E-38	0.32	0.597	1.08E-33
Rpa2	2.360795375	1.64E-37	0.311	0.045	5.31E-33
Tsc22d3	-3.159566361	8.60E-37	0.186	0.504	2.78E-32
Klf4	-3.390434724	1.39E-36	0.132	0.464	4.49E-32
Prelp	-2.473397259	2.23E-36	0.181	0.518	7.19E-32
Plac8	3.647414322	2.34E-36	0.274	0.035	7.55E-32
Hs6st2	2.642374781	2.38E-35	0.271	0.033	7.70E-31
Cp	-2.925719396	3.50E-35	0.193	0.502	1.13E-30
Piezo2	2.630905878	7.12E-35	0.274	0.035	2.30E-30
Ube2c	8.268220504	7.75E-35	0.169	0	2.50E-30
Ddit4l	8.430212177	7.75E-35	0.169	0	2.50E-30
Tcf19	4.443369555	1.40E-34	0.196	0.008	4.53E-30
Mcm4	3.15727883	3.22E-34	0.23	0.02	1.04E-29
Cdca8	5.00908112	1.90E-33	0.186	0.007	6.12E-29
Ccne2	8.081872907	2.55E-33	0.161	0	8.24E-29
Pbk	8.224825213	2.60E-32	0.156	0	8.40E-28
Slc43a3	-2.075461612	3.60E-32	0.35	0.593	1.16E-27
Hist1h4i	4.725544673	4.50E-32	0.169	0.004	1.45E-27
Cdkn3	5.475360328	7.58E-32	0.159	0.001	2.45E-27
Tacc3	3.297506079	1.44E-31	0.2	0.014	4.65E-27
Gpr176	2.11988662	2.55E-31	0.281	0.046	8.25E-27
Mmp2	-2.069574582	3.52E-31	0.257	0.541	1.14E-26
Mms22l	4.366377931	5.53E-31	0.171	0.006	1.79E-26
E2f1	3.138483646	5.54E-31	0.21	0.019	1.79E-26
Ezh2	2.09124674	7.74E-31	0.274	0.043	2.50E-26
Cenpw	4.36466483	2.28E-30	0.178	0.009	7.36E-26
Chaf1b	4.766602266	2.28E-30	0.164	0.005	7.37E-26
Rad51ap1	6.731366276	6.09E-30	0.149	0.001	1.97E-25
Cenpp	3.970405155	6.81E-30	0.174	0.008	2.20E-25
Hist1h2ap	5.816783653	7.27E-30	0.149	0.001	2.35E-25
Ccna2	7.877771374	8.36E-30	0.144	0	2.70E-25
Cenph	7.892646093	2.64E-29	0.142	0	8.52E-25
Rad51b	3.318927741	3.76E-29	0.188	0.014	1.21E-24
Cenpk	4.958152677	4.24E-29	0.161	0.006	1.37E-24
Racgap1	5.046263817	6.10E-29	0.149	0.002	1.97E-24
Cmklr1	-4.241153684	1.11E-28	0.037	0.308	3.59E-24
Rad51	4.274611791	1.43E-28	0.152	0.004	4.63E-24
Haus4	2.999787346	1.75E-28	0.178	0.012	5.66E-24
Mad2l1	3.448554929	3.96E-28	0.176	0.012	1.28E-23
Cdc45	4.661968108	4.73E-28	0.149	0.004	1.53E-23
Igfbp6	-2.477546537	1.28E-27	0.208	0.477	4.15E-23
Prc1	5.356338106	1.79E-27	0.142	0.002	5.77E-23
Tpx2	4.875692678	2.30E-27	0.149	0.005	7.42E-23
Rhob	-2.092229227	3.57E-27	0.301	0.533	1.15E-22
Ccne1	7.757146403	8.07E-27	0.13	0	2.60E-22
Fen1	2.424515904	1.15E-26	0.225	0.034	3.70E-22
Cdt1	4.484069484	3.16E-26	0.147	0.006	1.02E-21
Gm1673	2.632896461	4.81E-26	0.181	0.016	1.55E-21
Chaf1a	3.533090872	9.25E-26	0.164	0.012	2.99E-21
Syce2	3.211197925	1.26E-25	0.164	0.012	4.08E-21
Pafah1b3	2.159132235	2.36E-25	0.213	0.031	7.62E-21
Knstrn	4.933062997	3.48E-25	0.134	0.004	1.12E-20
Klf2	-2.457694199	4.58E-25	0.342	0.564	1.48E-20
G0s2	-3.698760777	4.86E-25	0.095	0.35	1.57E-20
Ace	-3.05207301	7.05E-25	0.09	0.344	2.28E-20
Slfn9	3.955530273	9.59E-25	0.137	0.005	3.10E-20
Ctss	2.462284133	1.19E-24	0.191	0.024	3.84E-20
Clspn	2.883881632	1.33E-24	0.159	0.012	4.31E-20
Lockd	3.785467727	1.40E-24	0.156	0.012	4.51E-20
Zbtb16	-5.30275623	1.49E-24	0.012	0.241	4.81E-20
Rfc5	2.254165331	2.09E-24	0.242	0.047	6.74E-20
Tmem121	3.09349368	2.80E-24	0.156	0.012	9.05E-20
Fbln1	-2.001102987	3.14E-24	0.298	0.521	1.01E-19
Dnmt1	2.615647382	3.96E-24	0.196	0.027	1.28E-19
Spon1	-3.572121189	4.13E-24	0.054	0.297	1.33E-19
Spc25	5.10779509	4.86E-24	0.125	0.002	1.57E-19
C1qb	2.073220095	2.76E-23	0.191	0.026	8.90E-19
Gas7	-2.439526871	3.72E-23	0.149	0.4	1.20E-18
Tgfbr2	-2.162407747	5.22E-23	0.193	0.437	1.68E-18
Ydjc	3.455878402	6.72E-23	0.149	0.012	2.17E-18
Cdc20	4.00960395	7.39E-23	0.134	0.007	2.39E-18
Incenp	3.603896995	8.86E-23	0.142	0.009	2.86E-18
Cenpn	3.541363084	9.42E-23	0.134	0.007	3.04E-18
Prim1	2.304505161	9.97E-23	0.178	0.022	3.22E-18
Azin2	2.814914101	1.05E-22	0.161	0.016	3.38E-18
Cdk2	3.622260258	1.15E-22	0.144	0.011	3.70E-18
Atad2	2.471728624	1.33E-22	0.203	0.034	4.29E-18
Ly6c1	-3.523810378	2.06E-22	0.083	0.317	6.65E-18
Lpl	-2.115942758	6.20E-22	0.306	0.509	2.00E-17
Gsta3	-3.894577461	1.62E-21	0.032	0.248	5.25E-17
Rfc3	2.087935116	1.93E-21	0.205	0.038	6.24E-17
C1qtnf7	-2.603306053	2.87E-21	0.147	0.376	9.26E-17
H19	5.648828385	3.71E-21	0.11	0.002	1.20E-16
Dtl	4.679581461	4.27E-21	0.117	0.005	1.38E-16
Mybl2	5.232014584	5.65E-21	0.105	0.001	1.82E-16
Cenps	3.383968743	6.23E-21	0.142	0.013	2.01E-16
Cit	7.198363753	6.32E-21	0.1	0	2.04E-16
Cdh3	7.348073991	6.32E-21	0.1	0	2.04E-16
Aurkb	7.311199338	6.32E-21	0.1	0	2.04E-16
Nrm	2.066771091	6.57E-21	0.188	0.032	2.12E-16
Lgals3	2.185497648	8.24E-21	0.232	0.053	2.66E-16
Gins1	2.957121693	1.14E-20	0.134	0.011	3.68E-16
Dusp1	-2.042439342	1.39E-20	0.315	0.519	4.49E-16
C3	-2.756282807	1.54E-20	0.127	0.354	4.96E-16
Serpina3g	2.314691111	1.62E-20	0.144	0.014	5.23E-16
Impa2	3.247457726	1.83E-20	0.139	0.013	5.92E-16
Specc1	2.888730682	2.28E-20	0.152	0.018	7.36E-16
Aqp1	3.09592938	2.67E-20	0.152	0.018	8.62E-16
Hacd4	3.693011127	3.27E-20	0.117	0.006	1.06E-15
Ifi205	-3.330643821	6.56E-20	0.078	0.293	2.12E-15
Vwa1	-3.823244974	7.63E-20	0.044	0.248	2.46E-15
Gm12840	-2.096545368	8.74E-20	0.259	0.468	2.82E-15
Ripk3	2.29067858	1.04E-19	0.174	0.028	3.37E-15
Trip13	3.110860043	1.26E-19	0.122	0.008	4.06E-15
Nectin2	3.461530574	1.49E-19	0.125	0.009	4.80E-15
Brca1	7.249417616	1.82E-19	0.093	0	5.86E-15
Fmn1	2.939551075	2.57E-19	0.137	0.014	8.28E-15
Guca1a	3.366633388	2.61E-19	0.127	0.011	8.44E-15
Alpl	-3.573535445	3.88E-19	0.042	0.241	1.25E-14
Nr4a1	-2.498532694	5.13E-19	0.12	0.34	1.66E-14
Cdca5	6.920462682	5.55E-19	0.09	0	1.79E-14
Dkk2	3.562440013	8.22E-19	0.103	0.004	2.65E-14
Pmvk	2.582689155	9.10E-19	0.144	0.018	2.94E-14
Aoc3	5.09604111	1.02E-18	0.098	0.002	3.28E-14
Pimreg	5.019612197	1.50E-18	0.093	0.001	4.85E-14
Melk	5.062287944	1.51E-18	0.093	0.001	4.88E-14
Kif15	6.983565296	1.69E-18	0.088	0	5.46E-14
Ankrd1	3.250076985	2.95E-18	0.115	0.008	9.52E-14
Lrrc42	2.07736846	3.82E-18	0.166	0.028	1.23E-13
Thsd7a	-2.325921672	3.84E-18	0.144	0.354	1.24E-13
Shcbp1	5.835803275	4.25E-18	0.09	0.001	1.37E-13
D130058E05Rik	4.293025601	4.39E-18	0.103	0.005	1.42E-13
Zwilch	3.393780804	5.61E-18	0.103	0.005	1.81E-13
Hist1h1c	2.126618295	1.01E-17	0.178	0.035	3.25E-13
Hmmr	4.909424813	1.40E-17	0.088	0.001	4.51E-13
Kntc1	7.027389181	1.57E-17	0.083	0	5.06E-13
Hs3st1	-3.850583078	4.50E-17	0.027	0.203	1.45E-12
Neil3	7.052048269	4.76E-17	0.081	0	1.54E-12
Lrr1	6.944191047	4.76E-17	0.081	0	1.54E-12
Pdgfa	2.287942225	5.71E-17	0.171	0.034	1.84E-12
Esrrg	2.440929117	7.28E-17	0.125	0.014	2.35E-12
Rpp25	2.072431575	8.57E-17	0.156	0.027	2.77E-12
Mki67	3.226239208	1.02E-16	0.088	0.002	3.28E-12
Pdgfc	4.790870678	1.28E-16	0.083	0.001	4.14E-12
2810408I11Rik	3.584842771	1.43E-16	0.095	0.005	4.62E-12
Rasl11a	2.883042482	1.82E-16	0.112	0.011	5.88E-12
Rad54l	4.239474428	3.06E-16	0.086	0.002	9.89E-12
Camk2n1	-2.705871707	3.08E-16	0.122	0.307	9.95E-12
Skp2	2.807498214	3.28E-16	0.117	0.013	1.06E-11
Scara5	-5.943214574	3.57E-16	0.005	0.156	1.15E-11
Xdh	-3.386511109	3.68E-16	0.037	0.21	1.19E-11
Hist1h1b	7.024012492	4.38E-16	0.076	0	1.41E-11
Tstd3	2.313495586	4.54E-16	0.137	0.021	1.47E-11
Txnip	-2.443419383	4.65E-16	0.117	0.306	1.50E-11
Tmtc4	2.784429659	5.56E-16	0.11	0.011	1.80E-11
Tedc1	3.852745589	5.65E-16	0.088	0.004	1.82E-11
Pold1	2.037657417	6.12E-16	0.134	0.02	1.98E-11
Cenpq	2.119449153	7.63E-16	0.139	0.022	2.46E-11
Gda	-2.387888235	7.96E-16	0.093	0.282	2.57E-11
Ckap2l	5.04842764	7.96E-16	0.083	0.002	2.57E-11
Dscc1	3.73332458	8.95E-16	0.083	0.002	2.89E-11
Rgs4	4.423820188	8.99E-16	0.083	0.002	2.90E-11
Dbf4	4.24587304	9.88E-16	0.09	0.005	3.19E-11
Haus6	2.714164128	1.05E-15	0.105	0.009	3.40E-11
Brip1	3.018818905	1.27E-15	0.098	0.007	4.10E-11
Pdlim4	3.419101508	1.28E-15	0.09	0.005	4.13E-11
Plk2	2.212790813	1.30E-15	0.13	0.019	4.21E-11
Nuf2	6.695335092	1.33E-15	0.073	0	4.28E-11
Nsl1	7.049205856	1.33E-15	0.073	0	4.28E-11
Cnn1	7.272903741	1.33E-15	0.073	0	4.28E-11
Tcea3	2.732095175	1.55E-15	0.122	0.016	5.00E-11
Steap2	2.122136293	2.09E-15	0.142	0.025	6.75E-11
Hgf	5.155291424	2.27E-15	0.081	0.002	7.33E-11
Cdc6	4.804896248	2.38E-15	0.081	0.002	7.68E-11
Atad5	4.477880868	2.60E-15	0.081	0.002	8.40E-11
Ccnb1	4.870858117	3.53E-15	0.076	0.001	1.14E-10
Actg2	7.810708195	4.01E-15	0.071	0	1.29E-10
Cemip	8.439667031	4.01E-15	0.071	0	1.29E-10
Mxd3	6.719494703	4.01E-15	0.071	0	1.29E-10
Gem	-2.404515823	4.25E-15	0.125	0.309	1.37E-10
Gas2	2.323000178	4.37E-15	0.115	0.014	1.41E-10
Des	2.127236817	4.40E-15	0.144	0.027	1.42E-10
Exo1	4.821699181	7.07E-15	0.078	0.002	2.28E-10
Lfng	3.278331035	9.26E-15	0.093	0.007	2.99E-10
Apod	-4.700173736	9.29E-15	0.022	0.174	3.00E-10
Sgo1	5.364850284	1.02E-14	0.073	0.001	3.29E-10
Pole2	2.128415944	1.23E-14	0.132	0.022	3.97E-10
Adgrd1	-2.117381286	1.27E-14	0.186	0.36	4.11E-10
Abca8b	-3.746719273	1.51E-14	0.037	0.193	4.87E-10
Ttyh3	2.766789731	1.52E-14	0.108	0.013	4.90E-10
Hmcn2	-5.347259196	1.71E-14	0.007	0.146	5.53E-10
Ulbp1	3.853209947	2.43E-14	0.076	0.002	7.85E-10
Cenpe	4.566693273	3.22E-14	0.071	0.001	1.04E-09
E2f7	6.452514437	3.65E-14	0.066	0	1.18E-09
Esco2	6.838893071	3.65E-14	0.066	0	1.18E-09
Has1	-3.512789157	4.11E-14	0.037	0.192	1.33E-09
Zfp469	2.081101654	5.42E-14	0.12	0.019	1.75E-09
Ablim1	-3.155902486	5.77E-14	0.049	0.206	1.86E-09
Trip10	-2.4568343	6.78E-14	0.09	0.259	2.19E-09
Mmab	2.121233859	7.04E-14	0.117	0.018	2.27E-09
Bag3	-2.247300347	7.23E-14	0.247	0.4	2.33E-09
Maff	-2.063942494	7.54E-14	0.144	0.316	2.43E-09
H1fx	2.630098397	7.56E-14	0.095	0.009	2.44E-09
Fignl1	3.582079835	8.28E-14	0.081	0.005	2.67E-09
Efcab11	2.396559158	8.35E-14	0.095	0.009	2.70E-09
Pola2	2.677634521	9.07E-14	0.098	0.011	2.93E-09
Lbp	-3.993445456	9.26E-14	0.017	0.157	2.99E-09
Col11a1	4.951808491	9.48E-14	0.068	0.001	3.06E-09
Dysf	4.638657385	9.67E-14	0.068	0.001	3.12E-09
C1qa	2.122498819	1.01E-13	0.098	0.011	3.27E-09
Bub1	6.48454661	1.10E-13	0.064	0	3.55E-09
Dlgap5	6.498340984	1.10E-13	0.064	0	3.55E-09
Cd55	-2.736678689	1.25E-13	0.078	0.242	4.02E-09
Cd109	4.135672828	1.34E-13	0.076	0.004	4.34E-09
Pwwp3b	4.163383861	1.36E-13	0.076	0.004	4.39E-09
Fgl2	-3.430926552	1.92E-13	0.042	0.192	6.21E-09
Lcn2	-5.159078318	2.05E-13	0.022	0.161	6.60E-09
Sass6	3.50525578	2.48E-13	0.078	0.005	7.99E-09
Abi3bp	-3.052266505	2.53E-13	0.051	0.204	8.16E-09
Trim59	4.466356271	2.90E-13	0.066	0.001	9.37E-09
Aunip	4.659878711	2.90E-13	0.066	0.001	9.37E-09
Traip	4.473501969	2.92E-13	0.066	0.001	9.41E-09
Kif22	6.733519132	3.31E-13	0.061	0	1.07E-08
Mis18bp1	6.263468894	3.31E-13	0.061	0	1.07E-08
Ndc80	6.626686686	3.31E-13	0.061	0	1.07E-08
Scml4	-3.683026394	4.31E-13	0.017	0.152	1.39E-08
Trf	-2.608171434	4.43E-13	0.078	0.237	1.43E-08
Tmem132a	2.264653314	5.16E-13	0.125	0.024	1.67E-08
Gm41724	2.725093373	5.51E-13	0.09	0.009	1.78E-08
Rmi2	3.462425391	6.59E-13	0.068	0.002	2.13E-08
Adamtsl2	-3.774483261	7.45E-13	0.02	0.153	2.41E-08
Ncapg2	2.266613475	8.12E-13	0.108	0.016	2.62E-08
Cenpu	5.003455612	8.37E-13	0.064	0.001	2.70E-08
Slc10a6	-4.174829742	9.85E-13	0.015	0.143	3.18E-08
Gm13832	6.391640443	9.95E-13	0.059	0	3.21E-08
Bub1b	6.268804647	9.95E-13	0.059	0	3.21E-08
Raet1e	6.750220414	9.95E-13	0.059	0	3.21E-08
Nrg1	4.078365531	1.08E-12	0.078	0.006	3.49E-08
Lmo2	-4.472305171	1.27E-12	0.012	0.137	4.10E-08
Ranbp17	2.978306818	1.33E-12	0.088	0.009	4.30E-08
Pdzd2	-3.049284659	1.55E-12	0.046	0.189	5.00E-08
Wdhd1	3.208119148	1.71E-12	0.081	0.007	5.51E-08
Pde4b	-2.227922975	2.04E-12	0.127	0.286	6.59E-08
C430002N11Rik	3.371294202	2.14E-12	0.073	0.005	6.90E-08
Cenpf	4.384071311	2.60E-12	0.061	0.001	8.41E-08
Depdc1a	6.23844719	2.99E-12	0.056	0	9.65E-08
Mcam	6.601080836	2.99E-12	0.056	0	9.65E-08
Ttk	6.446615497	2.99E-12	0.056	0	9.65E-08
Dio3	6.888503406	2.99E-12	0.056	0	9.65E-08
Ckap2	3.705225134	3.01E-12	0.076	0.006	9.71E-08
Dnph1	2.786957571	3.03E-12	0.083	0.008	9.79E-08
Ajuba	4.309626226	3.22E-12	0.068	0.004	1.04E-07
Ifi207	-3.170430926	3.29E-12	0.024	0.156	1.06E-07
Gas6	-2.095633254	4.27E-12	0.122	0.281	1.38E-07
Usp13	2.216863205	4.84E-12	0.105	0.018	1.56E-07
Scn7a	-2.678006621	4.90E-12	0.078	0.224	1.58E-07
Knl1	4.02111901	5.33E-12	0.064	0.002	1.72E-07
Hist1h2ae	6.256358589	8.97E-12	0.054	0	2.90E-07
Gtse1	6.349233361	8.97E-12	0.054	0	2.90E-07
Zdhhc15	3.658211305	1.12E-11	0.066	0.004	3.61E-07
Lsamp	-3.784286298	1.23E-11	0.022	0.146	3.99E-07
Lsmem1	3.073749372	1.83E-11	0.078	0.008	5.91E-07
Aaas	2.05954615	1.87E-11	0.115	0.024	6.03E-07
Cdca7l	2.897141988	2.04E-11	0.068	0.005	6.60E-07
Nmral1	5.330889881	2.11E-11	0.056	0.001	6.83E-07
Ccnb1ip1	2.210218438	2.12E-11	0.088	0.012	6.83E-07
Hp	3.935967928	2.18E-11	0.108	0.021	7.05E-07
Pole	4.8590569	2.26E-11	0.056	0.001	7.30E-07
Ecrg4	2.781141785	2.32E-11	0.078	0.008	7.50E-07
Aurka	4.209636515	2.33E-11	0.056	0.001	7.51E-07
Ggta1	4.246638256	2.34E-11	0.056	0.001	7.55E-07
Zgrf1	2.929308784	2.39E-11	0.078	0.008	7.73E-07
Lhpp	2.970856617	2.85E-11	0.071	0.006	9.19E-07
Lncpint	-2.354663699	3.93E-11	0.095	0.236	1.27E-06
Fmo2	-3.919899461	4.42E-11	0.017	0.132	1.43E-06
Npat	2.046772032	5.07E-11	0.105	0.02	1.64E-06
Mns1	5.21092288	6.34E-11	0.054	0.001	2.05E-06
Ube2t	4.132997448	6.98E-11	0.054	0.001	2.25E-06
Csmd1	2.122447826	8.06E-11	0.115	0.026	2.60E-06
Plk1	5.992519864	8.06E-11	0.049	0	2.60E-06
Osbpl3	4.013832362	8.18E-11	0.061	0.004	2.64E-06
Fgf2	-2.465959154	8.24E-11	0.059	0.193	2.66E-06
Lrrn4cl	-4.043430884	8.49E-11	0.022	0.136	2.74E-06
Gch1	-2.8736746	9.03E-11	0.056	0.187	2.91E-06
Lgi3	3.420007204	9.72E-11	0.061	0.004	3.14E-06
Map3k7cl	2.38018511	1.00E-10	0.061	0.004	3.23E-06
Echdc2	2.208596416	1.08E-10	0.1	0.019	3.49E-06
Irak3	-3.452009637	1.47E-10	0.027	0.142	4.73E-06
Myoz3	3.424255292	1.50E-10	0.056	0.002	4.85E-06
2410018L13Rik	2.205237134	1.73E-10	0.086	0.013	5.59E-06
Lin9	2.754194843	1.82E-10	0.073	0.008	5.88E-06
Cdca2	5.089645972	1.96E-10	0.051	0.001	6.31E-06
Npas2	-2.391341043	2.17E-10	0.068	0.199	7.01E-06
Kif11	6.337370203	2.41E-10	0.046	0	7.80E-06
Mdga1	2.071712307	2.91E-10	0.098	0.019	9.38E-06
Bmp4	-2.888640756	3.22E-10	0.054	0.177	1.04E-05
Platr25	2.61000774	3.81E-10	0.068	0.007	1.23E-05
Rad51c	3.651636365	4.39E-10	0.054	0.002	1.42E-05
Tmem204	-2.839062327	4.73E-10	0.02	0.128	1.53E-05
Ackr3	-3.187559996	4.80E-10	0.024	0.135	1.55E-05
Pink1	-2.170990624	5.67E-10	0.081	0.213	1.83E-05
Gm49708	2.061158979	5.77E-10	0.086	0.014	1.86E-05
Rac3	3.175385161	6.34E-10	0.064	0.006	2.05E-05
Cd53	2.732277455	6.89E-10	0.064	0.006	2.22E-05
Ncapg	6.173605047	7.23E-10	0.044	0	2.33E-05
Serpinb6b	6.012154758	7.23E-10	0.044	0	2.33E-05
Ska3	5.943561463	7.23E-10	0.044	0	2.33E-05
Cep55	6.023841448	7.23E-10	0.044	0	2.33E-05
Adgrl2	2.278984982	9.37E-10	0.078	0.012	3.02E-05
Plekha6	-3.384090794	1.01E-09	0.022	0.127	3.27E-05
Pde9a	-4.078340634	1.05E-09	0.01	0.106	3.39E-05
Tmem100	-3.590814631	1.09E-09	0.027	0.134	3.51E-05
Kif20a	3.622391188	1.27E-09	0.051	0.002	4.10E-05
