Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Rpl10a	4.018802543	3.87E-134	0.805	0.08	1.25E-129
Rpl23a	2.246363464	4.02E-134	0.972	0.474	1.30E-129
Rpl19	2.589877593	8.80E-134	0.933	0.358	2.84E-129
Rpl11	2.474401187	1.11E-133	0.942	0.342	3.57E-129
S100a4	5.776825061	1.82E-131	0.727	0.024	5.88E-127
Rpl3	3.349898723	8.03E-131	0.848	0.142	2.59E-126
Rpl37a	2.007954548	3.14E-129	0.987	0.567	1.01E-124
Rpl6	2.717820906	8.27E-129	0.912	0.314	2.67E-124
mt-Nd1	3.154251408	8.77E-129	0.854	0.137	2.83E-124
mt-Co1	2.124108042	4.95E-127	0.974	0.515	1.60E-122
mt-Co2	2.42685012	4.25E-125	0.933	0.344	1.37E-120
Eef1a1	2.17499803	6.85E-124	0.951	0.485	2.21E-119
Rpl13a	2.002284043	2.40E-122	0.976	0.549	7.74E-118
Rps7	2.36229311	3.96E-121	0.931	0.373	1.28E-116
Rpl8	2.028001692	1.16E-120	0.964	0.472	3.76E-116
Rps3a1	2.049302885	9.21E-119	0.949	0.49	2.97E-114
Cxcl3	-4.729399695	4.84E-118	0.122	0.777	1.56E-113
Ms4a6c	6.761263501	1.85E-117	0.65	0.008	5.98E-113
Rpl14	2.504162378	1.04E-116	0.891	0.311	3.37E-112
Rpl21	2.075755461	5.48E-116	0.942	0.422	1.77E-111
Ier3	-2.292270155	2.48E-115	0.669	0.954	8.00E-111
Plac8	3.854392748	3.34E-115	0.788	0.16	1.08E-110
Rpl15	2.467795275	2.00E-114	0.893	0.261	6.45E-110
Il1r2	-2.081460452	3.41E-114	0.655	0.959	1.10E-109
Egr1	-2.189993983	1.72E-113	0.605	0.938	5.54E-109
Rpl39	2.43660922	2.92E-113	0.899	0.29	9.43E-109
Rpl27a	2.02137933	4.91E-113	0.944	0.432	1.58E-108
Rpl34	2.01032587	1.69E-109	0.934	0.448	5.47E-105
Rpl35	2.690595442	1.98E-109	0.845	0.179	6.41E-105
Rpl18	2.018466216	2.38E-109	0.934	0.45	7.68E-105
Rps15	2.167465222	4.21E-108	0.918	0.36	1.36E-103
Rps17	2.703629876	1.87E-107	0.841	0.226	6.04E-103
Rpl24	2.273864611	8.98E-106	0.901	0.336	2.90E-101
Cstdc4	-3.921716117	1.10E-105	0.228	0.8	3.54E-101
Slc7a11	-2.276913589	4.15E-105	0.536	0.923	1.34E-100
Rpl7	2.268396198	4.29E-105	0.888	0.295	1.38E-100
Rpl4	2.796632212	1.61E-104	0.801	0.168	5.21E-100
mt-Cytb	2.335703943	5.16E-104	0.888	0.264	1.67E-99
Nme2	2.921188856	8.69E-103	0.779	0.148	2.81E-98
Lgmn	5.886856033	5.86E-101	0.596	0.018	1.89E-96
Rps2	2.362517386	6.70E-100	0.863	0.306	2.16E-95
Dbi	4.516722543	1.28E-99	0.622	0.033	4.12E-95
Rpl36a	3.103065954	6.73E-97	0.719	0.101	2.17E-92
Rpl28	2.231312211	2.08E-96	0.858	0.272	6.70E-92
Rpl22	3.112616723	4.31E-96	0.717	0.099	1.39E-91
Rpl36	2.215983811	5.15E-95	0.865	0.309	1.66E-90
Ppia	2.008276856	1.16E-93	0.893	0.363	3.76E-89
Pid1	4.344814785	4.39E-93	0.601	0.037	1.42E-88
Ifitm1	-2.423813014	6.51E-93	0.493	0.894	2.10E-88
Rpl7a	2.797680502	9.82E-93	0.743	0.135	3.17E-88
S100a10	4.078211794	1.46E-91	0.612	0.046	4.71E-87
G0s2	-2.622075376	1.94E-91	0.522	0.894	6.27E-87
Rps10	2.032617042	7.43E-90	0.875	0.309	2.40E-85
Retnlg	-3.039610496	5.23E-89	0.328	0.826	1.69E-84
Rps20	2.335521231	6.52E-89	0.807	0.235	2.10E-84
Wfdc21	-3.004438573	3.00E-88	0.253	0.756	9.69E-84
Cd9	-2.064218266	4.76E-88	0.534	0.878	1.54E-83
Pnrc1	-2.076207819	1.23E-86	0.513	0.86	3.98E-82
Hcar2	-2.805103145	6.07E-86	0.236	0.752	1.96E-81
Npc2	2.649348714	2.82E-85	0.738	0.163	9.12E-81
Ctsc	3.33125517	3.30E-85	0.635	0.077	1.07E-80
Ccr2	5.710873194	1.11E-84	0.506	0.007	3.60E-80
Hilpda	-3.372300785	4.99E-84	0.264	0.739	1.61E-79
Naca	2.281791243	3.58E-82	0.775	0.202	1.16E-77
Lgals1	3.473759505	3.41E-81	0.637	0.104	1.10E-76
Rack1	2.663348092	6.82E-79	0.68	0.125	2.20E-74
Emp3	2.396114478	8.14E-79	0.725	0.158	2.63E-74
Hsp90ab1	2.957701817	1.04E-78	0.648	0.104	3.35E-74
Vim	2.551866939	4.30E-78	0.734	0.217	1.39E-73
Rpl29	2.094144421	7.08E-78	0.781	0.218	2.29E-73
Gngt2	2.596272515	1.19E-77	0.727	0.179	3.86E-73
Ifi30	4.38588296	1.95E-77	0.511	0.024	6.31E-73
Lcn2	-2.936059305	2.25E-77	0.228	0.721	7.26E-73
Osm	-2.590621246	4.90E-77	0.328	0.764	1.58E-72
Rpl5	2.895357147	1.22E-75	0.625	0.093	3.95E-71
Aprt	3.140659724	4.42E-73	0.581	0.073	1.43E-68
Ms4a6d	5.140048969	6.58E-72	0.453	0.01	2.12E-67
Slc25a5	2.556672796	8.17E-72	0.657	0.122	2.64E-67
Lamp1	2.268685539	1.13E-71	0.648	0.117	3.65E-67
mt-Nd2	3.387222328	1.66E-71	0.541	0.054	5.37E-67
Rpl31	2.05295325	9.26E-71	0.77	0.265	2.99E-66
Rpl12	2.63438457	1.75E-70	0.629	0.107	5.66E-66
Ctsb	2.15885383	8.72E-69	0.816	0.357	2.81E-64
Lrg1	-2.24967199	1.56E-68	0.386	0.783	5.02E-64
mt-Nd4	2.189498536	1.03E-67	0.699	0.173	3.33E-63
Clec4a3	7.747251488	4.95E-67	0.406	0.002	1.60E-62
Egln3	-4.609558324	9.93E-67	0.047	0.502	3.21E-62
Plcb1	6.642759802	2.84E-66	0.41	0.005	9.16E-62
Ccr1	-2.081291918	3.09E-66	0.369	0.746	9.97E-62
Slc8a1	4.355060949	4.26E-65	0.436	0.018	1.38E-60
Aif1	7.214250348	1.47E-64	0.397	0.003	4.74E-60
Hint1	2.836041933	2.89E-64	0.545	0.07	9.33E-60
Trem1	-2.206007215	1.14E-63	0.339	0.717	3.67E-59
Pld4	8.00776709	3.94E-63	0.386	0.002	1.27E-58
Ccl9	2.319224454	3.99E-63	0.622	0.13	1.29E-58
Uqcrb	2.820203478	8.28E-63	0.549	0.083	2.67E-58
Cxcr2	-2.290047718	1.73E-62	0.296	0.694	5.60E-58
Anxa5	3.237814546	1.75E-62	0.489	0.047	5.66E-58
Eif3h	2.886168739	1.78E-62	0.522	0.065	5.73E-58
Ccl3	-2.716071122	4.51E-62	0.307	0.725	1.46E-57
Eif3f	2.441715838	1.10E-61	0.596	0.114	3.54E-57
Cd24a	-2.528403353	1.25E-61	0.29	0.681	4.04E-57
Slfn1	-2.271243914	7.26E-61	0.32	0.699	2.34E-56
Ybx1	2.189232916	2.45E-60	0.659	0.184	7.91E-56
Fn1	5.115196221	3.45E-60	0.401	0.015	1.12E-55
Cybb	3.693711318	4.55E-60	0.442	0.033	1.47E-55
Ccl4	-2.820115071	3.81E-59	0.416	0.752	1.23E-54
Npm1	3.591233662	5.71E-59	0.442	0.034	1.84E-54
Apoc2	4.175688265	2.37E-58	0.421	0.029	7.65E-54
Ndufa4	2.474533615	4.14E-58	0.558	0.103	1.34E-53
Ms4a4c	10.86993342	7.24E-58	0.354	0	2.34E-53
Basp1	-2.28829983	7.45E-58	0.337	0.687	2.41E-53
Smpdl3a	3.146078156	8.51E-58	0.468	0.049	2.75E-53
Camk2d	4.544527696	5.51E-57	0.376	0.01	1.78E-52
Clec4a1	5.096578387	1.36E-56	0.373	0.01	4.38E-52
Rps27l	2.10594278	3.42E-56	0.616	0.15	1.10E-51
Hdc	-2.005789347	1.82E-55	0.423	0.733	5.89E-51
Tmem256	5.162626992	2.71E-55	0.361	0.008	8.76E-51
Prdx2	4.284815205	9.20E-55	0.38	0.016	2.97E-50
Eif3e	3.880163929	1.65E-54	0.391	0.021	5.33E-50
Cd68	2.317823648	4.08E-54	0.541	0.103	1.32E-49
Il1rap	-2.515165408	3.16E-53	0.21	0.594	1.02E-48
Rpl22l1	2.464816298	4.29E-53	0.524	0.094	1.38E-48
Cd48	5.797881055	5.08E-52	0.335	0.005	1.64E-47
Mafb	4.927289114	3.99E-51	0.346	0.011	1.29E-46
Snrpg	2.543267537	1.09E-50	0.476	0.072	3.52E-46
Ms4a6b	5.719631499	1.25E-50	0.328	0.005	4.03E-46
Fmnl2	-2.984316829	1.68E-50	0.125	0.511	5.41E-46
Atp5c1	2.499081887	5.28E-50	0.489	0.083	1.70E-45
Arg2	-2.182802562	1.35E-49	0.273	0.617	4.34E-45
Atp5g1	2.587540577	3.16E-49	0.466	0.072	1.02E-44
Ctsh	2.09636998	3.60E-49	0.526	0.101	1.16E-44
Otulinl	3.298795095	4.68E-49	0.397	0.039	1.51E-44
Ahnak	4.130339485	7.10E-49	0.35	0.018	2.29E-44
Nme1	2.3770613	1.20E-48	0.487	0.083	3.88E-44
Mirt2	-3.838680797	2.29E-48	0.056	0.42	7.39E-44
Ndufb8	2.532521688	2.72E-48	0.459	0.068	8.80E-44
Rgcc	-2.77474839	3.05E-48	0.182	0.549	9.85E-44
Mcub	10.00491855	2.33E-47	0.296	0	7.53E-43
Grina	-2.002341421	4.78E-47	0.3	0.64	1.54E-42
Eif3m	3.799358256	1.11E-46	0.346	0.021	3.57E-42
Cd86	4.290623831	1.10E-45	0.322	0.013	3.55E-41
Cd300lf	-2.012374934	3.07E-45	0.296	0.622	9.90E-41
Eef1g	2.241755329	1.42E-44	0.451	0.075	4.58E-40
Selenow	3.08520599	1.73E-44	0.384	0.046	5.60E-40
Ranbp1	4.259453507	1.99E-44	0.316	0.015	6.44E-40
Bnip3	-3.315438076	2.74E-44	0.101	0.45	8.83E-40
Tlr4	-3.070795501	3.96E-44	0.112	0.461	1.28E-39
Psmb1	2.14575447	6.57E-44	0.494	0.103	2.12E-39
Grn	2.472171947	6.75E-44	0.44	0.073	2.18E-39
Stfa2l1	-2.533419635	7.28E-43	0.187	0.534	2.35E-38
Ext1	4.222881394	1.66E-42	0.3	0.011	5.37E-38
Acod1	-2.103409866	7.60E-42	0.29	0.614	2.45E-37
Ptpn18	2.188836693	2.21E-41	0.449	0.085	7.12E-37
H2-DMa	4.300166622	5.61E-41	0.287	0.01	1.81E-36
Selenop	2.934061606	6.81E-41	0.375	0.049	2.20E-36
Ear2	7.332793657	9.23E-41	0.262	0.002	2.98E-36
Ero1l	-3.273797766	3.30E-40	0.11	0.438	1.06E-35
Ctsa	2.322022961	3.71E-40	0.408	0.067	1.20E-35
Pycard	2.163353775	6.12E-40	0.448	0.09	1.98E-35
Akr1a1	2.001941557	1.05E-39	0.478	0.109	3.38E-35
Atp5a1	2.075854674	1.43E-39	0.436	0.081	4.60E-35
Id1	-2.803227573	1.86E-39	0.116	0.443	5.99E-35
Atp5o	2.817106014	7.88E-39	0.345	0.039	2.54E-34
Atp5d	2.029555269	1.09E-38	0.476	0.114	3.52E-34
Cdh23	-3.190746928	3.22E-38	0.069	0.381	1.04E-33
Ndufs8	3.749813751	7.04E-38	0.281	0.015	2.27E-33
Csrnp1	-2.270823721	1.46E-37	0.2	0.51	4.71E-33
Mdfic	5.001657925	1.78E-37	0.253	0.005	5.74E-33
Napsa	2.224501518	1.79E-37	0.453	0.104	5.80E-33
Snx5	3.403367676	2.74E-37	0.287	0.018	8.85E-33
Msr1	5.416215671	2.75E-37	0.251	0.005	8.87E-33
Smox	-2.070709159	2.78E-37	0.245	0.544	8.96E-33
Evl	9.642233833	4.43E-37	0.236	0	1.43E-32
Upp1	-3.242963433	5.74E-37	0.114	0.417	1.85E-32
Rtraf	2.895860285	5.80E-37	0.316	0.031	1.87E-32
Fcgr1	3.99303333	6.07E-37	0.277	0.016	1.96E-32
Fam162a	-2.697074291	6.20E-37	0.14	0.454	2.00E-32
Ndufb11	2.404690817	2.54E-36	0.365	0.057	8.20E-32
Snrpf	4.064142897	4.05E-36	0.262	0.011	1.31E-31
Rgs10	3.353450832	5.09E-36	0.283	0.02	1.64E-31
Cd33	-2.318445183	6.33E-36	0.165	0.474	2.04E-31
Nupr1	3.360355037	8.30E-36	0.288	0.023	2.68E-31
Psmb6	2.180347544	9.25E-36	0.412	0.086	2.99E-31
Ndufb5	2.64242059	3.88E-35	0.326	0.041	1.25E-30
Cd74	3.810908439	4.08E-35	0.526	0.207	1.32E-30
Jarid2	2.932325258	7.82E-35	0.298	0.029	2.52E-30
H2-Q10	-2.239418586	1.03E-34	0.199	0.502	3.32E-30
Cops9	2.078869648	1.75E-34	0.41	0.088	5.65E-30
Trem2	6.577183973	2.03E-34	0.225	0.002	6.57E-30
Tmem160	3.245433061	2.39E-34	0.283	0.024	7.72E-30
Hspe1	3.451256773	4.98E-34	0.266	0.018	1.61E-29
Clec4a2	2.165598598	1.12E-33	0.382	0.075	3.63E-29
B4galt5	4.202543129	1.76E-33	0.242	0.01	5.67E-29
Ly86	4.714857921	2.77E-33	0.223	0.003	8.95E-29
Psma4	2.215924659	3.72E-33	0.345	0.055	1.20E-28
Gadd45a	-2.449861765	4.77E-33	0.148	0.441	1.54E-28
Uqcrc1	2.652458488	5.47E-33	0.3	0.034	1.76E-28
Atp5g2	2.262631997	2.92E-32	0.36	0.07	9.42E-28
Bola2	2.687084531	3.46E-32	0.294	0.036	1.12E-27
H2-Ab1	5.702791843	5.46E-32	0.243	0.016	1.76E-27
Cndp2	3.583602003	6.66E-32	0.242	0.013	2.15E-27
F13a1	2.500925077	2.69E-31	0.328	0.055	8.70E-27
C1qb	5.414764106	3.11E-31	0.232	0.013	1.00E-26
Klf4	3.872963106	3.13E-31	0.24	0.015	1.01E-26
Txnip	-2.276988777	3.80E-31	0.174	0.451	1.23E-26
Psmb10	2.393572663	4.81E-31	0.296	0.037	1.55E-26
Tmem176b	5.88980743	5.41E-31	0.208	0.003	1.75E-26
Snrpe	2.071100458	9.20E-31	0.371	0.078	2.97E-26
Csf1r	2.004070541	1.39E-30	0.369	0.077	4.48E-26
Timm13	2.416910532	2.11E-30	0.303	0.044	6.82E-26
Mrps14	3.003794233	4.10E-30	0.264	0.028	1.33E-25
Cd83	5.933523962	4.62E-30	0.202	0.003	1.49E-25
Dennd1a	4.208875386	5.71E-30	0.215	0.008	1.84E-25
Ndufc2	3.047240438	5.77E-30	0.257	0.024	1.86E-25
Cct5	2.555959739	8.00E-30	0.285	0.037	2.58E-25
F630028O10Rik	-2.368213613	9.42E-30	0.152	0.427	3.04E-25
Nop10	2.144782476	9.67E-30	0.346	0.07	3.12E-25
St3gal6	-2.949362891	9.87E-30	0.084	0.349	3.19E-25
Dock4	2.603487863	1.25E-29	0.288	0.041	4.04E-25
Gusb	3.899388119	1.71E-29	0.217	0.01	5.53E-25
Sdf2l1	4.278386155	2.01E-29	0.215	0.01	6.48E-25
Psme1	2.217743752	2.20E-29	0.337	0.065	7.12E-25
Pgls	2.469658216	2.70E-29	0.285	0.039	8.72E-25
Fpr1	-2.663040636	2.87E-29	0.11	0.378	9.27E-25
Gm19951	-2.559809029	4.03E-29	0.133	0.401	1.30E-24
Ndufa11	2.83403086	4.16E-29	0.262	0.029	1.34E-24
Eif3i	3.102149504	6.36E-29	0.245	0.023	2.05E-24
Cct8	2.755635859	2.57E-28	0.272	0.037	8.31E-24
Hexb	2.373220818	2.80E-28	0.294	0.047	9.06E-24
Psmb4	2.171046207	2.81E-28	0.322	0.062	9.07E-24
E230032D23Rik	-3.3317282	5.98E-28	0.043	0.282	1.93E-23
Rexo2	3.29858646	6.40E-28	0.221	0.015	2.07E-23
Mdh1	4.958891307	7.50E-28	0.189	0.003	2.42E-23
Mbnl1	2.548095638	9.72E-28	0.268	0.036	3.14E-23
Rassf4	9.295524382	1.23E-27	0.178	0	3.97E-23
Snrpd1	3.705677646	1.32E-27	0.21	0.011	4.27E-23
Tes	-2.212839502	1.56E-27	0.142	0.404	5.05E-23
Apobec1	2.100371975	1.71E-27	0.341	0.075	5.52E-23
Vcan	4.705498816	1.97E-27	0.195	0.007	6.35E-23
Lpxn	3.585273324	2.33E-27	0.215	0.015	7.52E-23
Gab1	5.35906304	2.45E-27	0.185	0.003	7.90E-23
AI662270	2.63123464	2.72E-27	0.251	0.029	8.78E-23
Isg20	-2.659861677	1.09E-26	0.097	0.344	3.50E-22
Dmkn	7.264612777	1.21E-26	0.176	0.002	3.89E-22
Slirp	3.432896339	1.33E-26	0.204	0.011	4.29E-22
Lsm6	3.219803827	1.60E-26	0.219	0.018	5.16E-22
Dnajc15	3.217380911	1.61E-26	0.212	0.015	5.20E-22
Blvrb	3.395028278	2.54E-26	0.206	0.013	8.19E-22
Hsd17b12	3.880149622	2.58E-26	0.193	0.008	8.32E-22
Lsm4	2.201637782	2.62E-26	0.272	0.041	8.46E-22
Ccr5	5.691585637	3.37E-26	0.178	0.003	1.09E-21
Tmco1	3.081637106	4.13E-26	0.21	0.015	1.33E-21
Acer3	2.135741655	4.72E-26	0.307	0.062	1.52E-21
Lrp1	2.439082785	6.39E-26	0.242	0.029	2.06E-21
Dnajb9	-2.576945133	6.54E-26	0.14	0.383	2.11E-21
Dusp3	4.24728539	7.15E-26	0.185	0.007	2.31E-21
Mirt1	-2.161447328	7.67E-26	0.178	0.422	2.47E-21
Cct4	2.695950556	8.26E-26	0.238	0.028	2.67E-21
Gm16556	-2.540994589	1.23E-25	0.096	0.337	3.96E-21
Pou2f2	3.415981457	1.74E-25	0.204	0.015	5.62E-21
Nop53	2.001505089	1.86E-25	0.324	0.073	6.00E-21
Lat2	6.348607811	2.07E-25	0.169	0.002	6.67E-21
H2afy	2.247069102	2.34E-25	0.27	0.044	7.56E-21
H2-Aa	5.324266376	3.27E-25	0.199	0.015	1.06E-20
Gm21188	3.296864728	3.30E-25	0.206	0.016	1.06E-20
Wdr83os	2.742756972	3.69E-25	0.223	0.023	1.19E-20
Il1f9	-2.347841983	3.73E-25	0.118	0.363	1.21E-20
Mndal	6.177771702	4.07E-25	0.167	0.002	1.31E-20
Abhd12	4.509498933	4.49E-25	0.176	0.005	1.45E-20
Ccl2	2.728947876	4.69E-25	0.288	0.059	1.52E-20
Myo1d	-3.638706161	5.12E-25	0.036	0.249	1.65E-20
Rex1bd	4.14752535	5.97E-25	0.18	0.007	1.93E-20
Bcl2l1	-2.056918058	7.44E-25	0.163	0.407	2.40E-20
Akr1b3	4.771879181	7.85E-25	0.174	0.005	2.54E-20
Uqcc2	2.35458495	1.19E-24	0.247	0.036	3.83E-20
Metap2	3.172239978	1.46E-24	0.202	0.016	4.72E-20
Hspa1a	3.898650782	1.54E-24	0.217	0.024	4.99E-20
Prcp	3.757152715	1.70E-24	0.185	0.01	5.49E-20
C1qc	5.694636214	2.28E-24	0.17	0.005	7.36E-20
Tmem51	5.052072889	2.39E-24	0.167	0.003	7.71E-20
Tomm5	2.750328419	2.92E-24	0.232	0.031	9.42E-20
Hfe	9.279997983	4.13E-24	0.155	0	1.33E-19
Tnfrsf23	-2.713308833	4.45E-24	0.069	0.296	1.44E-19
Rab7b	5.028930197	4.63E-24	0.165	0.003	1.49E-19
Tnfsf13	6.509297115	5.71E-24	0.159	0.002	1.84E-19
Ndufc1	2.267611077	7.33E-24	0.26	0.046	2.37E-19
Snrpb2	3.17219215	1.08E-23	0.193	0.015	3.48E-19
Snx2	2.849901576	1.43E-23	0.208	0.021	4.60E-19
Nsa2	2.864372405	1.52E-23	0.2	0.018	4.90E-19
Etfb	2.048128761	2.02E-23	0.27	0.05	6.51E-19
C1qa	6.924709404	2.48E-23	0.159	0.003	8.00E-19
Psma5	2.626583078	2.51E-23	0.208	0.021	8.12E-19
Fbl	4.238851651	2.59E-23	0.165	0.005	8.37E-19
Gltp	2.228098344	4.28E-23	0.238	0.036	1.38E-18
Ppm1h	2.185895766	4.75E-23	0.26	0.047	1.53E-18
Tppp3	5.968181139	5.23E-23	0.157	0.003	1.69E-18
Fubp1	4.091212152	6.03E-23	0.167	0.007	1.95E-18
Slc2a1	-2.462083778	6.33E-23	0.096	0.318	2.04E-18
Jaml	-2.299491225	6.81E-23	0.118	0.347	2.20E-18
Dnajc19	3.80918718	7.24E-23	0.174	0.01	2.34E-18
Tcp1	2.624588675	7.49E-23	0.208	0.023	2.42E-18
Tm2d2	2.264829595	1.03E-22	0.232	0.034	3.31E-18
Psmc5	3.547509869	1.04E-22	0.178	0.011	3.35E-18
Gm2000	2.915620496	1.13E-22	0.191	0.016	3.66E-18
Tmem147	8.781324392	1.16E-22	0.146	0	3.75E-18
Dach1	-3.604788535	1.17E-22	0.034	0.231	3.78E-18
Anapc13	2.217411229	1.42E-22	0.243	0.041	4.60E-18
Gsto1	3.673384599	1.71E-22	0.176	0.011	5.51E-18
Mrpl42	3.06671464	2.56E-22	0.191	0.018	8.25E-18
BC028528	3.821002958	2.91E-22	0.167	0.008	9.40E-18
Ndufb2	2.221589326	3.70E-22	0.228	0.034	1.19E-17
Txn2	2.428854263	4.11E-22	0.225	0.034	1.33E-17
Tmem106a	6.122243826	6.31E-22	0.146	0.002	2.04E-17
Emg1	2.106255605	7.39E-22	0.249	0.046	2.38E-17
Itgb5	3.281810951	8.74E-22	0.169	0.01	2.82E-17
Tubb5	2.041264755	1.11E-21	0.264	0.054	3.60E-17
Mrpl23	2.863778299	1.20E-21	0.191	0.02	3.89E-17
Nap1l1	2.361194504	1.34E-21	0.223	0.034	4.32E-17
Syngr2	2.3118913	1.86E-21	0.223	0.034	6.02E-17
Cd302	2.346922085	2.17E-21	0.213	0.029	7.01E-17
Blvra	4.290350143	2.58E-21	0.152	0.005	8.32E-17
Bub3	2.60892425	3.58E-21	0.202	0.026	1.16E-16
Dmac1	4.873057978	3.63E-21	0.146	0.003	1.17E-16
Ppdpf	2.793674292	5.33E-21	0.184	0.018	1.72E-16
Cdc37	2.150261452	5.52E-21	0.225	0.036	1.78E-16
Cyc1	2.6711265	5.91E-21	0.184	0.018	1.91E-16
Atp5g3	2.077621235	6.12E-21	0.213	0.031	1.98E-16
Sh3bgrl	2.097114965	6.85E-21	0.223	0.036	2.21E-16
Ndufa12	2.247109545	9.40E-21	0.212	0.031	3.03E-16
mt-Nd3	3.48742707	1.02E-20	0.165	0.011	3.28E-16
Ergic3	3.450457506	1.90E-20	0.159	0.01	6.12E-16
Capn2	5.444318802	3.51E-20	0.135	0.002	1.13E-15
Cass4	-2.064630329	3.80E-20	0.125	0.34	1.23E-15
Adcy7	3.931833203	4.75E-20	0.152	0.008	1.53E-15
Abi3	3.037576038	5.07E-20	0.172	0.016	1.64E-15
Rdh12	-2.974610541	5.17E-20	0.06	0.249	1.67E-15
Tep1	5.077384522	6.89E-20	0.133	0.002	2.23E-15
Psmg4	4.142789565	7.07E-20	0.142	0.005	2.28E-15
Npm3	3.787487278	8.69E-20	0.146	0.007	2.81E-15
H2-Eb1	4.772382056	1.04E-19	0.167	0.016	3.35E-15
Nr4a2	2.599439986	1.42E-19	0.178	0.02	4.60E-15
Polr2g	2.43204734	1.53E-19	0.195	0.028	4.95E-15
Ankrd33b	-2.030580636	1.57E-19	0.139	0.345	5.08E-15
Mrpl21	3.735657334	1.80E-19	0.144	0.007	5.80E-15
Srsf9	2.960269241	2.23E-19	0.174	0.02	7.20E-15
Fnip2	2.303686057	2.36E-19	0.195	0.028	7.61E-15
Ly6c2	2.047247656	2.72E-19	0.311	0.096	8.78E-15
Gm20406	-2.735769153	3.04E-19	0.069	0.257	9.83E-15
Adgre4	9.001774829	3.14E-19	0.124	0	1.01E-14
Cxcl16	8.901762546	3.14E-19	0.124	0	1.01E-14
Irf8	3.954837106	3.26E-19	0.146	0.008	1.05E-14
Phb2	2.103785369	3.90E-19	0.204	0.033	1.26E-14
Nudt21	2.570131614	4.28E-19	0.174	0.02	1.38E-14
Mrpl12	5.727984604	4.66E-19	0.127	0.002	1.50E-14
Fyn	5.306758265	4.83E-19	0.127	0.002	1.56E-14
Exoc4	2.306514043	6.21E-19	0.2	0.033	2.01E-14
Tmem176a	5.053990854	6.45E-19	0.131	0.003	2.08E-14
Glrx3	2.910253346	6.59E-19	0.157	0.013	2.13E-14
Lsm7	3.621345021	6.82E-19	0.144	0.008	2.20E-14
Psmd14	2.614190037	7.25E-19	0.176	0.021	2.34E-14
Hivep2	2.381537078	1.04E-18	0.199	0.033	3.35E-14
Sptssa	2.006061327	1.04E-18	0.208	0.036	3.37E-14
Rnase6	4.738760715	1.27E-18	0.129	0.003	4.09E-14
Cox16	2.8102909	1.42E-18	0.159	0.015	4.59E-14
P2ry6	2.805998559	1.46E-18	0.159	0.015	4.71E-14
Ethe1	2.654181794	1.57E-18	0.163	0.016	5.08E-14
Hsd17b10	4.362569792	1.59E-18	0.133	0.005	5.12E-14
Stap1	3.429640584	1.60E-18	0.146	0.01	5.17E-14
Ddit3	-2.093147197	1.81E-18	0.12	0.314	5.84E-14
Pdap1	2.283609982	2.12E-18	0.174	0.021	6.85E-14
H2-DMb1	5.174775831	2.29E-18	0.127	0.003	7.38E-14
Tbc1d9	4.652377045	2.47E-18	0.127	0.003	7.97E-14
Lncpint	2.207222901	3.53E-18	0.197	0.033	1.14E-13
Chchd3	3.453190001	4.68E-18	0.135	0.007	1.51E-13
Cenpx	2.019474724	5.44E-18	0.217	0.044	1.76E-13
Fam172a	2.276026662	5.50E-18	0.178	0.024	1.78E-13
Gm31718	-2.161434799	7.79E-18	0.107	0.296	2.51E-13
Fam117b	2.975307072	8.10E-18	0.15	0.013	2.62E-13
