Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Mcm6	-2.676584416	4.73E-43	0.057	0.452	1.53E-38
Spc24	-3.647628434	3.97E-42	0.023	0.367	1.28E-37
Fbln1	2.656414591	2.06E-39	0.616	0.298	6.64E-35
Hells	-4.606181425	9.20E-39	0.008	0.306	2.97E-34
Tk1	-4.413760343	1.13E-38	0.011	0.315	3.64E-34
Lig1	-3.914693838	1.65E-38	0.021	0.337	5.32E-34
Smc2	-3.785495179	2.10E-38	0.023	0.34	6.79E-34
Gmnn	-3.417670349	3.63E-38	0.028	0.355	1.17E-33
Steap1	-3.928136125	1.07E-37	0.013	0.315	3.45E-33
Itga5	-2.48499029	3.24E-37	0.091	0.472	1.05E-32
Cd34	2.179118757	1.45E-36	0.619	0.301	4.68E-32
Nbea	2.293090945	1.49E-36	0.598	0.308	4.81E-32
Col8a2	5.586902236	2.79E-36	0.345	0.015	9.02E-32
Mt2	-2.496653791	2.01E-35	0.17	0.557	6.49E-31
Hat1	-2.722228617	2.15E-35	0.045	0.377	6.95E-31
Dctpp1	-2.128674484	2.23E-35	0.095	0.477	7.20E-31
Cdca3	-4.788957973	3.45E-35	0.008	0.281	1.11E-30
Slc16a3	-2.224947599	3.74E-35	0.089	0.46	1.21E-30
Lmcd1	5.829400552	2.58E-33	0.318	0.012	8.34E-29
Mcm3	-3.106854609	9.15E-33	0.03	0.323	2.96E-28
Col5a3	-2.885840537	1.21E-32	0.042	0.347	3.90E-28
Asns	-3.288004279	5.71E-32	0.017	0.284	1.84E-27
Abi3bp	4.321395724	7.59E-32	0.364	0.051	2.45E-27
Ptprn	-4.382994528	1.23E-31	0.006	0.252	3.97E-27
Fbxl7	2.353733378	1.44E-31	0.625	0.391	4.66E-27
Grb14	4.888395056	2.05E-31	0.322	0.024	6.61E-27
Mcm5	-3.418102036	2.08E-31	0.019	0.286	6.72E-27
Gins2	-2.797015402	4.35E-31	0.032	0.318	1.40E-26
Cd44	-2.575634947	4.46E-31	0.053	0.359	1.44E-26
Nedd9	2.392942194	4.58E-31	0.53	0.237	1.48E-26
Ung	-3.272625934	4.68E-31	0.019	0.284	1.51E-26
Cenpa	-3.437777616	5.62E-31	0.027	0.298	1.82E-26
Rpa2	-2.861599382	7.34E-31	0.03	0.311	2.37E-26
Tubb3	-2.058705501	1.16E-30	0.083	0.416	3.74E-26
Cfh	2.150477638	2.17E-30	0.598	0.342	7.01E-26
Uhrf1	-4.494332162	3.25E-30	0.008	0.247	1.05E-25
Nsg1	-2.844142375	4.01E-30	0.038	0.32	1.29E-25
Rasl11b	2.51373312	5.97E-30	0.483	0.178	1.93E-25
Islr	2.849542139	1.76E-29	0.428	0.12	5.68E-25
Fndc1	2.146357034	1.96E-29	0.566	0.296	6.33E-25
Matn4	7.201541086	6.39E-29	0.271	0.005	2.06E-24
Rfc5	-3.862772895	8.99E-29	0.009	0.242	2.90E-24
Diaph3	-3.36534685	2.39E-28	0.025	0.276	7.70E-24
Fat1	2.204890734	9.70E-28	0.519	0.259	3.13E-23
Stc2	5.117094044	1.44E-27	0.288	0.022	4.64E-23
Exosc8	-2.077359918	1.51E-27	0.051	0.335	4.88E-23
Asf1b	-6.094643548	1.67E-27	0.002	0.21	5.40E-23
Dhfr	-3.137833345	2.20E-27	0.023	0.267	7.11E-23
Lmnb1	-2.53189482	2.38E-27	0.038	0.303	7.67E-23
Ypel3	2.141123665	2.92E-27	0.532	0.279	9.44E-23
Nkd2	3.789017027	9.07E-27	0.33	0.056	2.93E-22
Spp1	-2.226124974	2.82E-26	0.18	0.526	9.09E-22
Mcm2	-2.780951962	2.97E-26	0.027	0.269	9.58E-22
Ppil1	-2.162983336	3.07E-26	0.055	0.335	9.92E-22
Crispld2	2.784247161	3.09E-26	0.407	0.13	9.99E-22
Cst6	5.024536448	3.39E-26	0.299	0.037	1.09E-21
Pmf1	-2.315192917	4.10E-26	0.034	0.289	1.32E-21
Cenpm	-2.916608606	5.19E-26	0.025	0.262	1.68E-21
Rfc4	-3.975324409	6.00E-26	0.011	0.225	1.94E-21
Cdk1	-2.208060588	6.31E-26	0.057	0.333	2.04E-21
Plce1	2.960553622	1.22E-25	0.394	0.122	3.92E-21
Aldh1a1	2.124387984	1.63E-25	0.511	0.267	5.25E-21
9-Sep	-2.085483179	2.03E-25	0.049	0.315	6.56E-21
Aldh1a2	-2.124330679	4.51E-25	0.112	0.413	1.46E-20
Ccnb2	-4.049814726	6.85E-25	0.008	0.208	2.21E-20
Top2a	-4.469013416	6.92E-25	0.008	0.208	2.23E-20
Gpatch4	-2.602331729	9.84E-25	0.032	0.269	3.18E-20
Fen1	-3.345261658	2.22E-24	0.015	0.225	7.15E-20
Mcm7	-2.497207859	2.49E-24	0.036	0.274	8.04E-20
Cpe	2.751339124	2.96E-24	0.398	0.132	9.55E-20
Mcm4	-2.897673672	3.47E-24	0.017	0.23	1.12E-19
Col9a2	8.553542881	6.01E-24	0.22	0	1.94E-19
Dock10	3.317927958	7.09E-24	0.318	0.061	2.29E-19
Rin2	2.413801778	8.27E-24	0.443	0.188	2.67E-19
Rcc1	-2.332494391	9.98E-23	0.034	0.259	3.22E-18
Pf4	-2.190127097	3.52E-22	0.049	0.286	1.14E-17
C1qtnf7	2.660334432	4.95E-22	0.394	0.147	1.60E-17
Aldh1a3	-2.893720395	5.42E-22	0.021	0.22	1.75E-17
Nudcd1	-2.259536373	9.25E-22	0.028	0.24	2.99E-17
Nup62	-2.611624874	1.00E-21	0.023	0.225	3.24E-17
Hip1	2.619243125	1.13E-21	0.402	0.164	3.65E-17
Prg4	-2.848333622	1.87E-21	0.038	0.252	6.05E-17
Dkk3	2.495360529	2.10E-21	0.396	0.152	6.77E-17
Ism1	4.44972214	3.14E-21	0.241	0.024	1.01E-16
Ptprb	4.685694621	4.48E-21	0.223	0.015	1.45E-16
Ube2c	-4.450265059	4.50E-21	0.004	0.169	1.45E-16
Il33	-2.332460792	4.90E-21	0.074	0.318	1.58E-16
Pbk	-7.53620401	5.27E-21	0	0.156	1.70E-16
Serpinb1a	-2.230318493	6.00E-21	0.064	0.303	1.94E-16
Kalrn	2.069245752	9.75E-21	0.489	0.274	3.15E-16
Gja1	-2.26664356	1.11E-20	0.034	0.242	3.58E-16
Itm2a	2.188683557	1.92E-20	0.458	0.237	6.20E-16
S1pr3	-2.772909429	1.94E-20	0.019	0.205	6.27E-16
Prkg1	2.130836489	2.22E-20	0.475	0.244	7.17E-16
4931406P16Rik	2.592156946	3.11E-20	0.394	0.161	1.00E-15
Dlg2	2.649195017	3.79E-20	0.364	0.132	1.22E-15
Rad51ap1	-7.17445652	4.92E-20	0	0.149	1.59E-15
Tacc3	-2.489191074	1.17E-19	0.019	0.2	3.77E-15
Lrrc32	-3.057729575	1.26E-19	0.019	0.198	4.08E-15
Dnmt1	-3.089360094	1.92E-19	0.019	0.196	6.19E-15
Plaur	-2.635133313	2.01E-19	0.017	0.193	6.50E-15
Ccne2	-4.320326263	2.15E-19	0.006	0.161	6.94E-15
Erg	5.832966952	3.30E-19	0.188	0.005	1.07E-14
Tcf19	-2.41176928	3.83E-19	0.019	0.196	1.24E-14
Serpina3n	2.127942108	4.17E-19	0.458	0.244	1.35E-14
Cxcl14	-3.316611124	4.27E-19	0.036	0.227	1.38E-14
Nox4	2.728542552	4.36E-19	0.35	0.127	1.41E-14
Cdkn3	-4.132383589	4.90E-19	0.006	0.159	1.58E-14
Chchd4	-2.130087832	5.48E-19	0.03	0.222	1.77E-14
Chaf1b	-3.857832433	5.65E-19	0.008	0.164	1.82E-14
Cdca7	-2.016055044	8.76E-19	0.021	0.198	2.83E-14
Xkr4	3.494758711	8.93E-19	0.288	0.073	2.88E-14
Cdca8	-3.003816658	1.24E-18	0.017	0.186	3.99E-14
Mmp3	-4.025879734	1.81E-18	0.013	0.174	5.84E-14
Myo1d	2.021732146	1.91E-18	0.443	0.235	6.16E-14
Sipa1l1	2.568390227	2.24E-18	0.333	0.117	7.24E-14
Cenph	-5.579940078	2.64E-18	0.002	0.142	8.52E-14
Ak5	4.063474201	2.78E-18	0.22	0.027	8.96E-14
Chaf1a	-3.368616349	2.83E-18	0.009	0.164	9.12E-14
Knstrn	-7.081987574	4.14E-18	0	0.134	1.34E-13
Rad51	-3.741031539	4.55E-18	0.006	0.152	1.47E-13
Epha7	2.797746212	5.94E-18	0.297	0.083	1.92E-13
Hist1h2ap	-4.773811972	7.34E-18	0.006	0.149	2.37E-13
Ccna2	-4.459462804	7.55E-18	0.004	0.144	2.44E-13
Gemin6	-2.541320604	1.00E-17	0.021	0.188	3.23E-13
Tsr1	-2.054467242	1.13E-17	0.034	0.22	3.65E-13
4930579G24Rik	-3.472465718	1.13E-17	0.008	0.154	3.65E-13
Tns3	2.00356635	1.16E-17	0.426	0.232	3.74E-13
Ace	2.902663878	1.25E-17	0.297	0.09	4.04E-13
Tex30	-3.034841122	1.33E-17	0.013	0.169	4.30E-13
Gucy1a1	3.399798884	1.41E-17	0.265	0.064	4.54E-13
Cenps	-4.231885323	1.61E-17	0.004	0.142	5.19E-13
Gng8	3.195690446	3.54E-17	0.256	0.059	1.14E-12
Pld3	2.097658625	4.18E-17	0.398	0.2	1.35E-12
Cenpw	-2.652580226	4.29E-17	0.019	0.178	1.39E-12
Tpx2	-3.331066379	4.61E-17	0.008	0.149	1.49E-12
Clspn	-3.219305524	5.27E-17	0.011	0.159	1.70E-12
Haus4	-2.495047131	6.03E-17	0.019	0.178	1.95E-12
Rad18	-2.896717907	6.20E-17	0.011	0.159	2.00E-12
Klhl29	2.643344553	1.00E-16	0.309	0.103	3.24E-12
Cenpk	-3.208344329	1.02E-16	0.013	0.161	3.31E-12
Ccne1	-4.826275361	1.09E-16	0.002	0.13	3.50E-12
Plxna4	3.435882834	1.27E-16	0.222	0.037	4.10E-12
Cdc20	-4.82665488	1.30E-16	0.004	0.134	4.19E-12
Cenpn	-4.402228805	1.37E-16	0.004	0.134	4.42E-12
Mms22l	-2.195336607	1.45E-16	0.017	0.171	4.69E-12
Nes	-2.146363254	1.52E-16	0.027	0.193	4.91E-12
Hist1h4i	-2.650377949	1.86E-16	0.017	0.169	5.99E-12
Ifitm10	3.762159618	2.46E-16	0.214	0.034	7.93E-12
Pdgfd	3.635402336	3.56E-16	0.223	0.042	1.15E-11
Cdt1	-2.980522843	4.36E-16	0.009	0.147	1.41E-11
Svep1	2.404235702	4.48E-16	0.358	0.166	1.45E-11
Slc38a4	-4.56378591	4.86E-16	0.004	0.13	1.57E-11
Kcnj15	4.412904591	6.75E-16	0.172	0.012	2.18E-11
Gins1	-3.799592149	7.29E-16	0.006	0.134	2.35E-11
Ephx2	4.269368677	8.96E-16	0.184	0.02	2.89E-11
Entpd2	2.613755221	1.02E-15	0.301	0.11	3.30E-11
Zmynd19	-2.230721498	1.03E-15	0.027	0.186	3.32E-11
Myc	-2.749496121	1.09E-15	0.013	0.154	3.53E-11
Mad2l1	-2.319258992	1.16E-15	0.023	0.176	3.75E-11
Slfn9	-3.96773845	1.21E-15	0.008	0.137	3.92E-11
Baiap2	-2.079507434	1.34E-15	0.027	0.186	4.32E-11
Tfpi2	-2.491176524	1.87E-15	0.017	0.161	6.04E-11
Cenpp	-2.413414664	2.33E-15	0.023	0.174	7.54E-11
Spc25	-4.359134952	2.45E-15	0.004	0.125	7.92E-11
Pkia	2.84331589	2.71E-15	0.244	0.061	8.76E-11
Prim1	-2.032868684	2.88E-15	0.025	0.178	9.28E-11
Pold1	-2.779554264	3.63E-15	0.008	0.134	1.17E-10
Trip13	-4.198759785	5.11E-15	0.004	0.122	1.65E-10
Slc2a1	-2.124169751	5.24E-15	0.023	0.171	1.69E-10
Nfat5	2.06912536	7.35E-15	0.377	0.196	2.37E-10
Nup43	-2.390740939	9.65E-15	0.021	0.164	3.11E-10
Syce2	-2.175618157	1.39E-14	0.021	0.164	4.49E-10
Racgap1	-2.67314201	1.62E-14	0.015	0.149	5.22E-10
Nuak1	3.022326467	1.64E-14	0.227	0.056	5.30E-10
Gm17268	-7.299043573	2.53E-14	0	0.105	8.16E-10
Rgs4	2.439087825	2.58E-14	0.263	0.083	8.34E-10
Rpp25	-2.232906729	2.93E-14	0.019	0.156	9.46E-10
Dkk2	-7.173353097	5.18E-14	0	0.103	1.67E-09
Zwilch	-6.7681295	5.18E-14	0	0.103	1.67E-09
Slc7a5	-2.850983693	5.35E-14	0.013	0.139	1.73E-09
Mthfd1l	-2.091418538	7.78E-14	0.025	0.166	2.51E-09
Prc1	-2.77611045	9.87E-14	0.015	0.142	3.19E-09
Mis18a	-2.380593268	1.09E-13	0.017	0.147	3.52E-09
Mybl2	-4.799637711	1.45E-13	0.002	0.105	4.67E-09
Cdc45	-2.569107037	1.66E-13	0.019	0.149	5.36E-09
Angptl7	6.90470092	1.97E-13	0.129	0.002	6.37E-09
Tcf21	2.527091806	2.89E-13	0.263	0.093	9.32E-09
Timeless	-2.516897922	5.09E-13	0.013	0.132	1.64E-08
Cenpq	-2.485655723	7.35E-13	0.017	0.139	2.37E-08
Hmgcs2	4.217109332	7.97E-13	0.144	0.012	2.57E-08
Pimreg	-6.496271074	9.05E-13	0	0.093	2.92E-08
Brca1	-6.560796413	9.05E-13	0	0.093	2.92E-08
Ccl8	-2.933465764	9.62E-13	0.011	0.125	3.11E-08
Psmc3ip	-2.464440515	1.16E-12	0.011	0.125	3.75E-08
Incenp	-2.054169497	1.80E-12	0.019	0.142	5.81E-08
Shcbp1	-6.642624023	1.84E-12	0	0.09	5.95E-08
Cdca5	-6.23184148	1.84E-12	0	0.09	5.95E-08
2810408I11Rik	-4.257632346	2.57E-12	0.002	0.095	8.30E-08
Aurkb	-4.119818779	3.02E-12	0.004	0.1	9.76E-08
Cit	-3.62915193	3.25E-12	0.004	0.1	1.05E-07
Melk	-4.881524506	4.94E-12	0.002	0.093	1.60E-07
Fgfrl1	2.949843633	5.01E-12	0.178	0.037	1.62E-07
Sertad4	3.023350474	6.24E-12	0.191	0.046	2.02E-07
Smpdl3a	2.705337176	7.51E-12	0.214	0.064	2.42E-07
Slc25a10	-2.709591582	8.35E-12	0.011	0.117	2.70E-07
Skp2	-2.421428434	8.63E-12	0.011	0.117	2.79E-07
Impa2	-2.164301998	1.01E-11	0.021	0.139	3.27E-07
Plscr2	2.256130456	1.01E-11	0.225	0.071	3.27E-07
Dnph1	-6.180263631	1.55E-11	0	0.083	5.00E-07
Thrb	4.88303454	1.92E-11	0.125	0.01	6.20E-07
Tedc1	-4.52523023	2.10E-11	0.002	0.088	6.76E-07
Kif15	-4.10711689	2.15E-11	0.002	0.088	6.93E-07
Cd55	2.555848783	2.41E-11	0.227	0.078	7.79E-07
Megf6	6.069750931	2.84E-11	0.108	0.002	9.16E-07
Fignl1	-6.028958059	3.14E-11	0	0.081	1.01E-06
Lrr1	-6.255569844	3.14E-11	0	0.081	1.01E-06
Pkmyt1	-2.541058283	3.30E-11	0.011	0.112	1.07E-06
Gstcd	-2.010271864	4.46E-11	0.025	0.142	1.44E-06
Cilp	2.257839993	4.84E-11	0.252	0.095	1.56E-06
Bmp4	2.958171927	5.05E-11	0.191	0.054	1.63E-06
Pdlim4	-3.755039819	5.23E-11	0.004	0.09	1.69E-06
Dnmt3l	-3.831590135	5.30E-11	0.004	0.09	1.71E-06
Fgl2	3.162930237	5.34E-11	0.174	0.042	1.72E-06
Smtnl2	4.247976633	6.03E-11	0.125	0.012	1.95E-06
Exo1	-5.988820427	6.37E-11	0	0.078	2.06E-06
Lsm11	-2.527068398	6.65E-11	0.008	0.1	2.15E-06
Lmnb2	-2.796705145	6.80E-11	0.008	0.1	2.19E-06
Ccl17	4.133163517	6.89E-11	0.152	0.027	2.23E-06
Dscc1	-4.557058568	8.49E-11	0.002	0.083	2.74E-06
Ckap2l	-4.65245929	8.54E-11	0.002	0.083	2.76E-06
Arntl	2.107974074	9.88E-11	0.252	0.103	3.19E-06
Hmmr	-2.60150161	1.04E-10	0.004	0.088	3.37E-06
Mki67	-3.358753447	1.08E-10	0.004	0.088	3.50E-06
Dtl	-2.269080681	1.10E-10	0.015	0.117	3.55E-06
Hist1h1b	-6.33539129	1.29E-10	0	0.076	4.16E-06
St3gal5	3.282284877	1.34E-10	0.159	0.034	4.33E-06
Dhrs13	-2.00122685	1.36E-10	0.021	0.13	4.39E-06
Exosc2	-2.061781714	1.62E-10	0.019	0.125	5.22E-06
Rad54l	-3.626341803	2.19E-10	0.004	0.086	7.06E-06
Nsl1	-6.360584654	2.61E-10	0	0.073	8.42E-06
Haus6	-2.182217624	2.66E-10	0.011	0.105	8.60E-06
Sema3d	3.460227013	2.86E-10	0.133	0.02	9.24E-06
Gm15867	2.93666354	3.41E-10	0.167	0.042	1.10E-05
Lsmem1	-4.766786857	3.46E-10	0.002	0.078	1.12E-05
Zgrf1	-4.186759644	3.53E-10	0.002	0.078	1.14E-05
Pdgfc	-4.643293284	3.59E-10	0.004	0.083	1.16E-05
Tcea3	2.115377382	3.66E-10	0.263	0.122	1.18E-05
Ncapg2	-2.34758833	4.09E-10	0.013	0.108	1.32E-05
Unc119	2.82710971	4.17E-10	0.186	0.056	1.35E-05
Tmtc1	3.003880067	4.35E-10	0.161	0.039	1.40E-05
Kntc1	-3.503014616	4.39E-10	0.004	0.083	1.42E-05
Spats2l	2.603307253	5.73E-10	0.199	0.068	1.85E-05
Cpxm2	7.02514433	6.22E-10	0.089	0	2.01E-05
Ackr4	3.554394409	6.51E-10	0.121	0.015	2.10E-05
Ccnb1	-4.112519202	7.19E-10	0.002	0.076	2.32E-05
Etl4	4.948620142	8.21E-10	0.104	0.007	2.65E-05
Cdc6	-3.665995091	8.56E-10	0.004	0.081	2.76E-05
Wwp2	2.181197424	8.70E-10	0.258	0.122	2.81E-05
Clec11a	2.191950529	8.85E-10	0.246	0.108	2.86E-05
C3	2.355090761	9.53E-10	0.267	0.127	3.08E-05
Col11a1	2.575946807	9.67E-10	0.201	0.068	3.12E-05
Efcab11	-2.204048141	1.01E-09	0.009	0.095	3.26E-05
Zdhhc2	3.186669865	1.28E-09	0.142	0.029	4.12E-05
2010204K13Rik	-2.182928153	1.32E-09	0.017	0.112	4.25E-05
Igkc	4.258344067	1.34E-09	0.112	0.012	4.32E-05
Gins3	-3.362803484	1.74E-09	0.004	0.078	5.62E-05
Tiam1	2.58263361	1.93E-09	0.203	0.076	6.24E-05
Pcyox1l	-2.537357399	2.06E-09	0.009	0.093	6.66E-05
E2f7	-5.763893234	2.15E-09	0	0.066	6.93E-05
Fhit	3.523552452	2.81E-09	0.11	0.012	9.07E-05
Cenpe	-3.888175629	2.93E-09	0.002	0.071	9.44E-05
Pcsk5	4.24225631	3.31E-09	0.108	0.012	0.000106739
Gm49708	-2.91161097	3.79E-09	0.008	0.086	0.000122259
Wdhd1	-3.2081365	3.79E-09	0.006	0.081	0.00012246
Mapk11	-2.077342118	3.98E-09	0.011	0.095	0.000128362
Bub1	-5.795925408	4.32E-09	0	0.064	0.000139625
Cenpu	-5.886078629	4.32E-09	0	0.064	0.000139625
Pdss1	-2.060866039	4.73E-09	0.017	0.108	0.000152577
Sntb1	5.005008762	4.82E-09	0.097	0.007	0.000155744
AI838599	5.147691561	5.49E-09	0.091	0.005	0.000177401
Wscd2	6.681511878	5.52E-09	0.08	0	0.000178232
Cdca7l	-4.128997914	5.85E-09	0.002	0.068	0.000188853
Brip1	-2.14289454	6.53E-09	0.013	0.098	0.000210917
Gucy1b1	2.007636452	6.62E-09	0.258	0.13	0.000213602
Hspe1-rs1	-2.493300867	6.88E-09	0.011	0.093	0.000222215
Sinhcaf	-2.365331356	7.32E-09	0.008	0.083	0.000236471
Gm26771	3.661072621	7.41E-09	0.114	0.017	0.000239229
Kif22	-6.04489793	8.71E-09	0	0.061	0.000281158
Shmt1	-5.744460882	8.71E-09	0	0.061	0.000281158
Ndc80	-5.938065483	8.71E-09	0	0.061	0.000281158
Kcnma1	3.990469544	1.13E-08	0.098	0.01	0.000363308
Gstt1	2.095821233	1.14E-08	0.21	0.086	0.000368939
Esco2	-4.074236754	1.17E-08	0.002	0.066	0.000379149
Traip	-3.66999394	1.19E-08	0.002	0.066	0.000382839
Fosl1	-3.339028859	1.19E-08	0.002	0.066	0.000382839
Ypel2	3.709006884	1.23E-08	0.116	0.02	0.000397392
Rcan2	3.028124435	1.25E-08	0.129	0.027	0.000402644
Rhobtb1	3.392929259	1.35E-08	0.119	0.022	0.00043546
Emilin2	-3.454838119	1.39E-08	0.004	0.071	0.000447604
Mxd3	-2.941340853	1.41E-08	0.004	0.071	0.000455894
Dusp18	-2.4930874	1.54E-08	0.008	0.081	0.00049873
Sh3rf3	2.356579116	2.35E-08	0.203	0.083	0.000759066
Galnt17	2.156887068	2.36E-08	0.206	0.088	0.000762609
Cdc42ep3	2.35563086	2.54E-08	0.205	0.086	0.000819474
Rmi2	-3.219342638	2.79E-08	0.004	0.068	0.000900054
Rbp4	-2.980770997	2.82E-08	0.008	0.078	0.000909876
Nuf2	-2.851172035	2.98E-08	0.006	0.073	0.000962451
Sgo1	-2.61481875	2.99E-08	0.006	0.073	0.000966651
Depdc1a	-5.549825987	3.52E-08	0	0.056	0.001137625
Ttk	-5.757994294	3.52E-08	0	0.056	0.001137625
Kif20b	-5.454492663	3.52E-08	0	0.056	0.001137625
Dbf4	-2.151935809	4.29E-08	0.013	0.09	0.001385988
Rdh10	-2.011183662	4.35E-08	0.019	0.103	0.001404754
Dclk3	6.440375143	4.82E-08	0.07	0	0.001556525
S100b	3.227708862	4.99E-08	0.106	0.017	0.001610313
Cx3cl1	2.219356202	5.36E-08	0.244	0.13	0.001729071
Neil3	-2.545323361	5.50E-08	0.009	0.081	0.001775676
Il1r2	-2.381614529	5.59E-08	0.009	0.081	0.001804263
Art4	3.483310994	6.10E-08	0.091	0.01	0.001969261
Fgf7	3.64324623	6.69E-08	0.091	0.01	0.002159997
Procr	-5.661727769	7.08E-08	0	0.054	0.002286206
Igfbp3	-5.858462798	7.08E-08	0	0.054	0.002286206
Polr3g	-5.79547276	7.08E-08	0	0.054	0.002286206
Ccdc68	3.504582262	7.48E-08	0.112	0.022	0.002414666
Wfdc18	2.222449686	9.04E-08	0.11	0.02	0.002919019
Stmn4	-4.244875204	9.23E-08	0.002	0.059	0.002979528
Bub1b	-3.812037338	9.50E-08	0.002	0.059	0.003066739
Saa3	-3.640780359	1.03E-07	0.009	0.078	0.003336825
Dlgap5	-3.012874955	1.10E-07	0.004	0.064	0.003559582
Cd59a	2.512891597	1.30E-07	0.131	0.034	0.004186521
Dact3	2.197606954	1.33E-07	0.17	0.064	0.004283726
Cdca2	-5.612205395	1.42E-07	0	0.051	0.004592017
Stxbp6	-2.226133367	1.78E-07	0.011	0.081	0.00575116
Nusap1	-4.193614502	1.86E-07	0.002	0.056	0.005990874
Aurka	-2.804393847	1.91E-07	0.002	0.056	0.006165708
Shq1	-3.68625777	1.91E-07	0.002	0.056	0.006165708
Cip2a	-3.621603301	1.91E-07	0.002	0.056	0.006165708
Cys1	3.77345813	2.01E-07	0.095	0.015	0.006495788
Ulbp1	-2.51841503	2.02E-07	0.009	0.076	0.006520778
Fem1a	-2.38958686	2.09E-07	0.009	0.076	0.006742202
Mis18bp1	-3.153163478	2.20E-07	0.004	0.061	0.00709739
Aunip	-2.986801865	2.21E-07	0.006	0.066	0.007134427
Caprin2	-2.56823227	2.24E-07	0.004	0.061	0.007226373
Klhl24	3.069151335	2.80E-07	0.117	0.029	0.009033022
Ctnnal1	5.712485632	2.85E-07	0.068	0.002	0.009215669
Camk2n1	2.091419758	2.88E-07	0.229	0.122	0.009302606
C1s1	2.111838982	3.22E-07	0.184	0.078	0.010406865
Mns1	-3.460193687	3.80E-07	0.002	0.054	0.012269202
Hist1h2ae	-3.924114156	3.80E-07	0.002	0.054	0.012269202
Gtse1	-3.259849667	3.82E-07	0.002	0.054	0.012327968
Raet1e	-3.706658998	4.13E-07	0.004	0.059	0.013332542
Fhl3	-2.011901351	4.29E-07	0.015	0.086	0.013845932
Knl1	-2.68403851	4.47E-07	0.006	0.064	0.014425695
Blm	-2.622085959	4.47E-07	0.006	0.064	0.014425695
